[2019-08-22 22:33:26,933] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:33:26,933] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2019-08-22 22:33:26,933] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2019-08-22 22:33:26,942] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:33:26,950] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:33:26,954] INFO [RequestSendThread controllerId=0] Controller 0 connected to localhost:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2019-08-22 22:33:26,977] INFO [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map([Topic=tdn-systrk,Partition=0,Replica=0] -> OnlineReplica) (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:33:26,977] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.PartitionStateMachine)
[2019-08-22 22:33:26,979] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.PartitionStateMachine)
[2019-08-22 22:33:26,981] INFO [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map(tdn-systrk-0 -> OnlinePartition) (kafka.controller.PartitionStateMachine)
[2019-08-22 22:33:26,981] INFO [Controller id=0] Ready to serve as the new controller with epoch 12 (kafka.controller.KafkaController)
[2019-08-22 22:33:26,984] INFO [Controller id=0] Removing partitions Set() from the list of reassigned partitions in zookeeper (kafka.controller.KafkaController)
[2019-08-22 22:33:26,985] INFO [Controller id=0] No more partitions need to be reassigned. Deleting zk path /admin/reassign_partitions (kafka.controller.KafkaController)
[2019-08-22 22:33:26,990] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2019-08-22 22:33:26,990] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2019-08-22 22:33:26,990] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:33:26,991] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2019-08-22 22:33:26,992] INFO [Controller id=0] Starting preferred replica leader election for partitions  (kafka.controller.KafkaController)
[2019-08-22 22:33:27,037] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2019-08-22 22:33:32,041] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2019-08-22 22:33:32,042] DEBUG [Controller id=0] Preferred replicas by broker Map(0 -> Map(tdn-systrk-0 -> Vector(0))) (kafka.controller.KafkaController)
[2019-08-22 22:33:32,043] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2019-08-22 22:33:32,044] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2019-08-22 22:36:21,818] INFO [Controller id=0] Shutting down broker 0 (kafka.controller.KafkaController)
[2019-08-22 22:36:21,821] DEBUG [Controller id=0] All shutting down brokers: 0 (kafka.controller.KafkaController)
[2019-08-22 22:36:21,823] DEBUG [Controller id=0] Live brokers:  (kafka.controller.KafkaController)
